id,value,quantity,package,components,Manufacturer Part,LCSC,Supplier,Manufacturer,LCSC Assembly
"1","20k","1","1206","R2","?","","","",""
"2","47k","3","1206","R3,R4,R5","?","","","",""
"3","LightSensor","1","HDR-1X2/2.54","P1","Header-Female-2.54_1x2","C49661","LCSC","LCSC",""
"4","PIRSensor1","1","HDR-3X1/2.54","P3","Header-Male-2.54_1x3","C49257","LCSC","LCSC",""
"5","PIRSensor2","1","HDR-3X1/2.54","P4","Header-Male-2.54_1x3","C49257","LCSC","LCSC",""
"6","PIRSensor3","1","HDR-3X1/2.54","P5","Header-Male-2.54_1x3","C49257","LCSC","LCSC",""
"7","BUTTON","1","HDR-3X1/2.54","P6","Header-Male-2.54_1x3","C49257","LCSC","LCSC",""
"8","POWER 12V","1","WJ2EDGVC-5.08-2P","P7","?","C8445","LCSC","",""
"9","AO3400A","1","SOT-23(SOT-23-3)","Q1","AO3400A","C20917","LCSC","AOS","Yes"
"10","100","1","1206","R6","?","","","",""
"11","10k","1","1206","R7","?","","","",""
"12","LED STRIP WHITE  12V","1","WJ2EDGVC-5.08-2P","P2","?","C8445","LCSC","",""
"13","10k","1","WH148-1A-2B","R8","?","","","",""
"14","100k","1","RES-ADJ_3362W","R1","?","","","",""
"15","ARDUINO NANO","1","ARDUINO_NANO","U1","?","","","",""
